ticker,company_name,market,revenue_period,period_type,revenue,currency,source
2377.TW,微星,TW,2022-05,monthly,15909845000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2022-06,monthly,55449083000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2022-06,monthly,8194426000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2022-06,monthly,16497922000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2022-06-25,quarterly,6550000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2022-07,monthly,36753188000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2022-07,monthly,7435303000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2022-07,monthly,13011506000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2022-08,monthly,48226687000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2022-08,monthly,7896900000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2022-08,monthly,12564059000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2022-09,monthly,8767701000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2022-09,monthly,12990682000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2022-09-24,quarterly,5565000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2376.TW,技嘉,TW,2022-10,monthly,8214578000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2022-10,monthly,13653812000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2022-11,monthly,10861177000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2022-11,monthly,14846623000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2022-12,monthly,8772357000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2022-12,monthly,12289620000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2023-01,monthly,8219614000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2023-01,monthly,13156226000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2023-02,monthly,10088975000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2023-02,monthly,14111271000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2023-03,monthly,9733565000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2023-03,monthly,16333250000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2023-04,monthly,7303724000.0,TWD,https://api.finmindtrade.com/api/v4/data
